Index,AARatio,Aedes_aegypti_adultos,Apis_mellifera_hemolinfa,Arabidopsis_thaliana_plantulas,Atlantic_salmon,Bacteroides_fragilis_E44,Bacteroides_fragilis_E44_variacion,Bacteroides_fragilis_EPS,Bacteroides_fragilis_EPS_variacion,Bacteroides_fragilis_glucosa,Bacteroides_fragilis_glucosa_variacion,Bacteroides_fragilis_without_CHO,Bacteroides_fragilis_without_CHO_variacion,Bombyx_mori_meconium_female,Bombyx_mori_meconium_male,Bombyx_mori_whole_body_female,Bombyx_mori_whole_body_male,Chlamydomonas_reinhardtii_137minus,Chlamydomonas_reinhardtii_137plus,Cicer_arietinum_C44,Citrus_sinensis_leaves,Citrus_sinensis_roots,Escherichia_coli_1,Fusarium,Gallus_gallus_plasma,Glycine_max_axes,Glycine_max_cotyledons,Kluveromyces,Mus_musculus_tejido_cerebral,Neurospora_crassa,Neurospora_micelio,Oncorhynchus_mykiss_musculo_blanco_adulto,Potato_1,Potato_2,Rattus_norvegicus_intersticio_musculo_esqueletico,Rattus_norvegicus_musculo_gastrocnemio_medial,Saccharomyces_cerevisiae_0h_with,Saccharomyces_cerevisiae_0h_without,Saccharomyces_cerevisiae_10h_with,Saccharomyces_cerevisiae_10h_without,Saccharomyces_cerevisiae_24h_with,Saccharomyces_cerevisiae_24h_without,Saccharomyces_cerevisiae_2h_with,Saccharomyces_cerevisiae_2h_without,Saccharomyces_cerevisiae_4h_with,Saccharomyces_cerevisiae_4h_without,Saccharomyces_cerevisiae_6h_with,Saccharomyces_cerevisiae_6h_without,Saccharomyces_cerevisiae_8h_with,Saccharomyces_cerevisiae_8h_without,Salmo_salar_plasma,Solanum_tuberosum_H26,Triticum_aestivum_roots,Zea_mays_tallo,Healthy_Human,DM_Human,MetabolicSyndrome_Human,Dyslipidemia_Human,Hypertension_Human
1,Ala,7.569130514825966,0.4276239714466783,11.74020590686763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9547269210853954,1.0281674534765797,0.6891131343772163,1.335111217060247,0.7676152349232469,2.122180461633109,0.0,3.179740870059354,3.1878940517774548,0.6012367429756487,18.253707705132577,0.7136325875640549,4.6077955240530235,5.55029915397296,1.8856863929228787,0.3668494886668317,12.61669448254236,3.7875365869167283,0.31689039717717593,0.0,0.0,1.1354142749551515,0.8640836577783688,5.017506821218571,2.233509325727624,0.0,2.747935668638951,11.508201234020984,20.390448620336723,3.6902253098560336,3.9836254988205866,2.398525309900345,2.9481190296903517,1.8526805466437546,2.5700461281882747,3.092551374084403,0.0,1.0796840012881899,3.689120529432276,19.55364398176256,10.269515811667189,1.265375737,1.71460756,1.853237377,1.689054203,1.56901227
2,Asp,1.7933282143755864,0.011545105750127039,42.66533624178816,0.0,0.41003598860543106,1.1284021843767797,0.39820807143893877,0.5397361450210734,0.13802859114625476,0.33239304407239667,0.8394248600869799,1.120177421730969,0.0,0.0,0.01583785809952359,0.014303706447746823,2.1237881152751945,2.439509056192148,2.662363274343333,1.166620678455426,1.909179007868911,2.8465052267853945,0.0,0.15034742564398298,0.0,0.0,0.0445276903536545,3.907062844900006,4.4221583636126045,0.7426042418131414,0.015650312703713944,0.0,0.0,0.8799862322745579,0.3326591552802611,1.9638413591610315,0.7887559557286111,0.0,1.565283136949802,1.543513809917196,2.314261979994936,0.7943499695990267,0.6818059956298164,0.5282830587205581,0.6240706462907692,0.4743440194589113,0.8537633147172329,0.9633660527983037,0.0,0.01405285179126238,42.31639710529068,7.9758658167130445,9.668811058703529,0,0,0,0,0
3,Glu,1.0153998715911723,0.020378316658697385,71.36562109864619,0.0,1.404365738566574,1.0003054556229747,1.4647793184210443,1.2948282259415433,1.1997862435258997,1.972114235740477,1.939620497749986,1.0592106684757328,0.0,0.0,0.0,0.030673912020256877,6.310996770437011,10.849583889810113,9.514132581754817,1.3311109600371274,4.134123462423002,4.948281976312896,70.52552913866067,0.5218941583213805,0.0,0.0,0.03970388512086155,7.8831350011465275,32.472431718675644,2.8473341645595096,0.05793067577883824,0.0,0.0,0.03502838420485285,0.03554350750198304,3.273518660737244,6.645674418596515,0.0,0.0,0.0,18.82166531140971,3.374254419500165,7.775899863823925,3.1201652146085013,6.916215110462456,5.074043413444553,9.298798933613131,0.0,0.0,0.14578552999370809,24.654300664642957,3.7077878004743092,11.72873273668252,0,0,0,0,0
4,Asn,0.0,0.0,42.64819234653801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31947194712540017,0.43347917328436975,0.0,0.0,0.0,0.8421963608545073,25.003467321890696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.049115504239488,0.0,0.09973890992045117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018556727622071813,209.23492691730024,0.0,6.863107333640758,0.170489242,0.196419975,0.199102352,0.190536666,0.187518215
5,Pro,1.8474297902634034,6.105225430714546,8.632883399608929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18069504622758595,0.5859485905801198,0.3658412595987566,0.9872353710128445,1.9201427830587408,57.078379493292694,34.26967784656819,0.28865036367398006,0.0,0.46612741304579236,0.6509310933006031,1.7716874515238188,0.0,0.0,0.028117900810230276,0.5032947161786471,0.05572554759238677,0.0,0.0,0.5154654408830258,0.15981955458750677,0.15112223614519055,0.15112223614519055,0.0,0.15112223614519055,0.15112223614519055,0.15112223614519055,0.15112223614519055,0.15112223614519055,0.15112223614519055,0.15112223614519055,0.15112223614519055,0.15112223614519055,0.15112223614519055,0.0,0.16208476882291498,13.009383607918654,1.6361733473941058,0.0,0.912564875,1.247243548,1.35841199,1.24611877,1.131427232
6,Gln,0.0,0.0,30.62401905382872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5277450127857533,3.9980666381230545,0.0,0.0,0.0,5.091007001534418,2.6571483911517357,0.0,0.0,0.0,0.0,0.0,0.5406586247206235,0.0,18.439613511283905,0.0,0.08174651662894206,0.0,0.0,0.0,0.0,5.942583033989545,3.7242087119486844,0.0,0.0,0.0,17.26539066322364,4.130305938517557,13.634391216625689,2.4943537419563278,11.084380805789575,1.9452340147231963,10.704542211198657,0.0,0.0,0.49499461976423503,124.15966548582716,0.0,26.6687478609776,5.801386661,6.717869285,6.775955145,6.543700725,6.404970506
7,Arg,1.3448158124641503,0.3345693949944514,2.3176281040750912,0.0,0.34141532739564523,0.19534314157051214,0.3310324602803266,0.5374100875371841,0.021962224966866426,0.1509260765863434,0.11816859832030305,1.133454191677396,0.0,0.0,0.4967910137132283,0.6816636922206041,0.8291866555261407,1.738415461811969,1.269265209150207,0.25104347555590023,0.711289847408384,0.37623116841442716,4.955847658261968,0.37944691604356756,5.100459795676955,1.6710175741885185,1.5156073919791573,0.08335846799679367,1.511008632057937,1.353260175009989,0.0,0.0,0.0,0.9940986499112214,0.0,3.0749724209609086,0.28864683645035355,0.0,10.069075690128612,4.827369506152465,31.021605060268765,1.6090525776594176,0.7632018048517822,1.1921785617112277,0.49482314820060613,2.0950173613332113,0.7469926371874535,1.9698494029512676,0.0,0.0,22.41371919806318,0.9545437785982602,1.682938477334937,0.529226275,0.641926844,0.638915363,0.60803196,0.599105777
8,Ser,0.7719737784683325,0.0,10.340603315171997,0.0,0.11916971601928834,0.7696961144703545,0.007297261206388314,0.06114461754629951,0.07343477637300878,0.5129181823850751,0.076530816497181,0.9204249601422183,0.9173092435572227,0.846746994052821,0.8178654424023599,2.826108556983267,0.0,0.0,0.0,1.8141057342636038,0.6960370959587784,0.1456861135019375,3.778076514656913,1.3740605502274692,2.592745886252952,3.8084688997379197,0.039673397100547944,0.6185011531859296,2.957038270595419,2.3714861378042476,0.06685513716449298,0.0,0.0,0.18872629581783773,0.0,0.8069070413653547,0.6416976096750698,0.0,0.4287550218490851,0.7148885837228895,0.732283831835456,0.5482261084294378,0.534608569207783,0.3450703067411914,0.3417324548565461,0.2170079828536039,0.366141915917728,0.20143954323681287,0.0,0.20620691435360872,8.270518281788652,0.7672157533324145,7.111131771214788,0.494540914,0.563810497,0.549045204,0.51860804,0.518573977
9,Gly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
10,Cys,0.0,0.01833203461284917,3.028104411693581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.249584196725623,167.9305057364725,0.0,0.0,0.0,1.4820030610520867,0.0,0.9079581323439917,0.7499718311230091,0.624976525935841,0.0,0.0,0.0,3.9119151083397545,0.0,0.0,0.0,0.37614541065693086,1.494901429853464,4.9457236943604475,9.791533778733816,0.0,1.5085793321886403,3.5874153930705797,6.536655791847027,2.4131616936950366,5.22768328864602,3.5978193884649836,3.523876167621236,3.807191993459289,3.30867762303368,3.516730261751344,0.0,0.008818584660992647,3.8206843704369713,2.5050878289194545,0.0,0,0,0,0,0
