Index,AARatio,Rattus_norvegicus,Chlamydomonas_reinhardtii,Glycine_max,Bombyx_mori,Aedes_aegypti,Salmo_salar,Arabidopsis_thaliana,Triticum_aestivum,Mus_musculus,Apis_mellifera,Gallus_gallus,Fusarium,Kluveromyces,Cicer_arietinum,Solanum_tuberosum,Citrus_sinensis,Saccharomyces_cerevisiae,Zea_mays,Neurospora_crassa,Oncorhynchus_mykiss,Bacteroides_fragilis,Escherichia_coli
1,Ala,0.5976339978248201,0.6751649958897445,0.084629242,0.023737902295302437,0.2988014919186656,0.10890102370007164,0.5247674440364735,0.083114541,0.5559973785727425,0.24694939499019966,0.6070642669144921,0.3211680865994644,0.7275766539505455,0.02243292,0.016858960020056376,0.1688199679532834,1.2030027509556267,0.397826862,0.7155208019185639,0.14373925289750183,0.5791200953989817,1.2048562132294427
2,Asp,0.4230686664373431,0.26721621821084135,0.058809779266039384,0.018819589285768382,0.24223872130640817,0.052469725204255926,0.40843477528700073,0.052102812138707946,0.3964403308211601,0.21535863823363724,0.42433931856558355,0.22165662253686522,0.7785779359420555,0.015913476542400707,0.009895298,0.11328238430899275,1.2117530291078242,0.23851704511190627,0.44296084039963524,0.11556544774622284,0.4596018203914587,0.6799129577507291
3,Glu,0.6212387418273382,0.33386309664792385,0.070621737,0.019727587142731994,0.3079997156035142,0.070253125,0.5302181386413551,0.064408152,0.5925864303500683,0.29056002685552706,0.6481945622117647,0.2573813948148672,0.918949014,0.021262641241399736,0.013867660170472612,0.14250967600069656,1.4083588275392491,0.289046229,0.5533773741978352,0.1504426850399099,0.6077492268366219,0.8351315543335991
4,Asn,0.30449192816778753,0.1480205982417316,0.044622144,0.014366272,0.2004357274707895,0.038104179,0.30956624077822364,0.032394668,0.2841095283949202,0.22066927663666788,0.31678952073482247,0.13760824278442071,0.6915567825678299,0.011570569894400872,0.007133108,0.088707935,1.3211807088575616,0.14938056447245024,0.2771018832097807,0.081550412,0.40395304484340633,0.4942524096537263
5,Pro,0.45944598061091463,0.3014874436979205,0.05321714,0.016416883,0.19523837981659578,0.05662382,0.37865554169276305,0.049460556083048585,0.43691993329662204,0.17847217444837457,0.42879960231451836,0.20956198996330427,0.5393282466040215,0.012358064952354598,0.009175338,0.11335770494230218,0.979286872,0.24150486557511183,0.46879223116138785,0.0980628,0.2992100740201174,0.5466933725213363
6,Gln,0.3898036016691086,0.22037575663877423,0.037307856,0.009644396,0.18581316512009732,0.044764775,0.2642553216132636,0.032300101,0.3736235932265214,0.1618359744184937,0.38597025030027377,0.14791819899476757,0.5678414733243206,0.009909484,0.006441036,0.078906622,0.8915129755794841,0.15907822108633107,0.3246136623908407,0.090860385,0.2828119462384966,0.6089239549886218
7,Arg,0.4860236735054461,0.34468332372447924,0.050453161,0.011777706027649024,0.2231059097181786,0.067541333,0.3999502940548991,0.054653191,0.4480300444597336,0.18974342857870297,0.47528622825790534,0.21204387086251833,0.5625154262514965,0.014324289697942234,0.010495952081521941,0.10615198542480334,1.0506347324221648,0.2655441648652056,0.46862408601759065,0.10980946961922743,0.377201387,0.7552710895348917
8,Ser,0.6335088325847835,0.337763104,0.078977494,0.019710079,0.29143839854138104,0.070828987,0.6451178900490729,0.069930332,0.5959333331758874,0.26621856442018094,0.6154708091286232,0.2672911269107784,1.0744401687234353,0.018537727115733864,0.0147182,0.1704439283518385,2.0291433870948805,0.33603175907712046,0.5860613968093766,0.14249569887756655,0.47155584392402083,0.7283942025167185
9,Gly,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,Cys,0.16005166541533802,0.073548525,0.014635079063087293,0.006629359,0.069918743,0.016674419903736578,0.12264238034286942,0.012547899531221016,0.15935177148523985,0.065384661,0.15923177765085725,0.034706494,0.13882269070036163,0.003696559,0.002060914,0.033458849,0.3424051438188763,0.066525587,0.075423588,0.040423407,0.096132611,0.14867945526250553
